ProductID,ProductName,Description,UnitPrice,QuantityInStock,Manufacturer,CategoryID,Weight,Dimensions,ReleaseDate
1,Smartphone X,High-end smartphone with advanced features,799,1500,ABC Electronics,1,0.2,5.7x2.8x0.3 inches,1/15/2023
2,Laptop Pro,Powerful laptop for professional use,1499,800,XYZ Technologies,2,2.5,14.1x9.7x0.8 inches,11/30/2022
3,Smart TV 55,Ultra HD smart TV with built-in streaming apps,999,600,ABC Electronics,3,28.5,48.5x29.5x2.5 inches,3/20/2023
4,Wireless Headphones,Bluetooth headphones with noise cancellation,199,1200,SoundTech Inc.,4,0.5,7.2x6.9x3.1 inches,2/10/2023
5,Tablet Mini,Compact tablet for on-the-go use,399,1000,Global Mobile,1,0.7,8.4x5.3x0.4 inches,4/5/2023
6,Home Security Camera,Indoor/outdoor security camera with HD resolution,129,2000,SecureTech,5,0.3,3.7x2.5x2.5 inches,1/30/2023
7,Gaming Console,Next-gen gaming console with 4K support,499,500,GameTech Ltd.,6,4.8,15.4x11.3x2.6 inches,12/20/2022
8,Smartwatch Pro,Advanced smartwatch with health tracking features,349,900,Wearables Inc.,7,0.1,1.6x1.4x0.4 inches,5/10/2023
9,Wireless Earbuds,True wireless earbuds with long battery life,149,1800,SoundTech Inc.,4,0.03,2.1x1.8x1.3 inches,3/1/2023
10,Desktop Monitor 27,High-resolution monitor for immersive viewing,299,700,DisplayTech,8,12,24.5x15.2x1.8 inches,2/25/2023
11,Smart Speaker,Voice-controlled smart speaker with virtual assistant,79,2500,HomeTech Ltd.,9,2.2,5.6x3.9x3.9 inches,4/20/2023
12,Portable Bluetooth Speaker,Compact speaker with wireless connectivity,49,3000,AudioTech,4,0.6,6.1x3.2x3.0 inches,1/10/2023
13,External Hard Drive 2TB,High-capacity external storage for data backup,89,1000,Storage Solutions,10,0.5,4.7x3.1x0.6 inches,3/15/2023
15,USB Flash Drive 128GB,Compact storage device for transferring files,19,2500,Storage Solutions,10,0.02,2.2x0.8x0.3 inches,3/5/2023
16,External SSD 500GB,Portable solid-state drive for fast data transfer,149,1500,Storage Solutions,10,0.1,3.9x2.3x0.3 inches,4/10/2023
17,Bluetooth Mouse,Wireless mouse with ergonomic design,29,2000,Input Devices Ltd,13,0.08,4.1x2.3x1.4 inches,1/20/2023
18,Smart Thermostat,Programmable thermostat for energy efficiency,129,1000,HomeTech Ltd.,14,0.4,3.3x3.3x1.1 inches,2/15/2023
